CompanyID;OriginalMainAccountID;AX12MainAccountID;OriginalCostcenterID;Ax12CostCenterID;AX12BusinessUnitID;AX12ObjectiveID;Ax12ProductionLineID;AX12ProjectID;AX12SiteID;AX12SubAccountID;IntercompanyID;Date;Currency;AmountAccounting;AmountTransaction;AmountReporting;VoucherText;Version
DK02;;301010;;11111;U11S;;;;;;;2024-03-01;DKK;67848128,7755717;67848128,7755717;;;FC24
TK02;;301010;;11111;U11S;;;;;;;2024-04-01;DKK;59060775,4484486;59060775,4484486;;;FC24
DK02;;301010;;11111;U11S;;;;;;;2024-05-01;DKK;69696727,8871905;69696727,8871905;;;FC24
DK02;;301010;;11111;U11S;;;;;;;2024-06-01;DKK;70162090,5113899;70162090,5113899;;;FC24
DK02;;301010;;11111;U11S;;;;;;;2024-07-01;DKK;68656131,2457156;68656131,2457156;;;FC24
DK02;;301010;;11111;U11S;;;;;;;2024-08-01;DKK;66113595,2573059;66113595,2573059;;;FC24
DK02;;301010;;11111;U11S;;;;;;;2024-09-01;DKK;64666877,3820194;64666877,3820194;;;FC24
DK02;;301010;;11111;U11S;;;;;;;2024-10-01;DKK;64380260,6342514;64380260,6342514;;;FC24
DK02;;301010;;11111;U11S;;;;;;;2024-11-01;DKK;59853275,9155825;59853275,9155825;;;FC24
DK02;;301010;;11111;U11S;;;;;;;2024-12-01;DKK;62444109,1662709;62444109,1662709;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-03-01;DKK;3697598,93;3697598,93;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-04-01;DKK;3238742,75;3238742,75;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-05-01;DKK;3838309,05;3838309,05;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-06-01;DKK;4315676,56;4315676,56;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-07-01;DKK;4227704,88;4227704,88;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-08-01;DKK;4559657,05;4559657,05;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-09-01;DKK;4096181,55;4096181,55;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-10-01;DKK;3851199,88;3851199,88;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-11-01;DKK;3559331,63;3559331,63;;;FC24
DK02;;301510;;11111;U11S;;;;;;;2024-12-01;DKK;2827832,69;2827832,69;;;FC24
DK02;;302010;;11211;U11S;;;;;;;2024-03-01;DKK;34502348,3863192;34502348,3863192;;;FC24
DK02;;302010;;11211;U11S;;;;;;;2024-04-01;DKK;29771789,5569088;29771789,5569088;;;FC24
